AREA/SPACE,SQUARE_FEET,CLEANING_TYPE,PRICE_PER_SQ_FT,BASE_SUBTOTAL,ADDITIONAL_SERVICES,ADDITIONAL_COSTS,ADJUSTMENTS,FINAL_TOTAL,NOTES
Apartment Type A,800,Final,$0.45,$360,Windows (6 panels),$24,None,$384,Standard unit
Apartment Type B,950,Final,$0.45,$427.50,Windows + balcony,$36,None,$463.50,Unit with balcony
Executive Office 1,1200,Premium,$0.60,$720,Large windows (8),$48,None,$768,Corporate space
Executive Office 2,1500,Premium,$0.60,$900,Windows + partitions,$72,None,$972,Glass division
Retail Space 1,2000,Final,$0.50,$1000,Storefronts (10),$80,None,$1080,Street front
Retail Space 2,1800,Final,$0.50,$900,Storefronts + adhesives,$95,None,$995,Signage removal
Main Lobby,3000,Premium,$0.65,$1950,High windows + polishing,$200,None,$2150,Main common area
Gym/Amenities,2500,Deep,$0.55,$1375,Special equipment,$150,None,$1525,Wet areas
Covered Parking,15000,Basic,$0.25,$3750,Industrial cleaning,$300,Discount (-5%),$3847.50,Covered area
Exterior Common Areas,5000,Basic,$0.30,$1500,Pressure washing,$200,None,$1700,Walkways and patios